Star Wars Universe
Core,Central,Lead,,,,,,,
TEAM,Outer Rim,Hutts,Bilbousa City University,BCU,60,KSU,,,
TEAM,Outer Rim,Hutts,University of Ryloth,UR,70,UZ,,,
TEAM,Outer Rim,Hutts,Dathomir School of Zoology,DSZ,75,YMC,,,
TEAM,Outer Rim,Hutts,Kamino Clone Academy,KCA,85,HES,,,
TEAM,Outer Rim,Free,Mandalore Academy,MAN,95,NSSS,,,
TEAM,Outer Rim,Free,Geonosis University,GU,60,NHU,,,
TEAM,Outer Rim,Free,Mon Cala Tech,MCT,85,TTS,,,
TEAM,Outer Rim,Free,Kessel Station University,KSU,50,BCU,,,
TEAM,Outer Rim,Free,University of Zygerria,UZ,50,UR,,,
TEAM,Outer Rim,Free,Yavin Military College,YMC,65,DSZ,,,
TEAM,Outer Rim,Free,Happy Endor School,HES,30,KCA,,,
# Corporate,,,,,,,,,
TEAM,Corporate,Rich,Trade Federation Preparatory,TFP,80,BCAS,,,
TEAM,Corporate,Rich,Czerka Corporation College,CCC,90,TUU,,,
TEAM,Corporate,Rich,Sienar Fleet Systems College,SFSC,80,ICDS,,,
TEAM,Corporate,Rich,Commerce Guild College,CGC,50,CETU,,,
TEAM,Corporate,Rich,Kuat Drive Yards Academy,KDYA,60,SCU,,,
TEAM,Corporate,Rich,BlastTech Recruitment College,BRC,85,HDT,,,
TEAM,Corporate,Rich,Core Galaxy Systems College,CGSC,40,WTS,,,
TEAM,Corporate,Wealthy,Banking Clan Accounting School,BCAS,80,TFP,,,
TEAM,Corporate,Wealthy,Incom Corp Design School,ICDS,75,SFSC,,,
TEAM,Corporate,Wealthy,Techno Union University,TUU,80,CCC,,,
TEAM,Corporate,Wealthy,Corellian Engineering Tech U,CETU,55,CGC,,,
TEAM,Corporate,Wealthy,SoroSuub Corp University,SCU,75,KDYA,,,
TEAM,Corporate,Wealthy,Holowan Droid Tech,HDT,80,BRC,,,
TEAM,Corporate,Wealthy,Watto's Trade School,WTS,25,CGSC,,,
# Religious,,,,,,,,,
TEAM,Religious,Jedi,Coruscant Jedi Temple,CJT,95,KST,,,
TEAM,Religious,Jedi,Dantooine Jedi Temple,DJT,70,MST,,,
TEAM,Religious,Jedi,Luke's Secret Temple,LST,45,EST,,,
TEAM,Religious,Jedi,Eedit Jedi Temple,EJT,70,DBTA,,,
TEAM,Religious,Jedi,Ach-To Jedi Temple,ATJT,55,CST,,,
TEAM,Religious,Jedi,Yavin Jedi Temple,YJT,65,YST,,,
TEAM,Religious,Jedi,Lothal Jedi Temple,LJT,70,DKST,,,
TEAM,Religious,Sith,Korriban Sith Temple,KST,85,CJT,,,
TEAM,Religious,Sith,Exegol Sith Temple,EST,55,LST,,,
TEAM,Religious,Sith,Malachor Sith Temple,MST,80,DJT,,,
TEAM,Religious,Sith,Darth Bane Temple on Ambria,DBTA,60,EJT,,,
TEAM,Religious,Sith,Coruscant Sith Temple,CST,65,ATJT,,,
TEAM,Religious,Sith,Yavin Sith Temple,YST,65,YJT,,,
TEAM,Religious,Sith,Dromund Kaas Sith Temple,DKST,75,LJT,,,
# Players,,,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,
PLAYER,CJT,QB,Obiwan Kenobi,Jr,73,215,7,,
PLAYER,CJT,RB,Mace Windu,Sr,73,240,7,,
PLAYER,CJT,CB,Kiadi Mundi,Sr,73,220,7,,
PLAYER,CST,QB,Darth Vader,Fr,73,215,5,,
PLAYER,TTS,QB,Boba Fett,So,73,215,6,,
PLAYER,EST,QB,Ben Solo,Fr,73,215,5,,
PLAYER,KWU,QB,Chewbacca Wookie,Fr,73,215,5,,
PLAYER,GSU,QB,Jarjar Binks,So,73,215,3,,

END_FILE,,,,,,,,,
